@relation 'House Price India-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute id numeric
@attribute 'number of bathrooms' numeric
@attribute 'living area' numeric
@attribute 'number of views' numeric
@attribute 'grade of the house' numeric
@attribute 'Area of the house(excluding basement)' numeric
@attribute 'Area of the basement' numeric
@attribute 'Renovation Year' numeric
@attribute living_area_renov numeric
@attribute Price numeric

@data
6762822266,2.25,1620,0,8,1540,80,0,1620,415000
6762822453,2.25,1800,0,8,1360,440,0,2730,410000
6762822604,2.25,1410,0,8,1410,0,0,1430,406100
6762822620,3,1410,0,8,1140,270,0,1410,405000
6762822792,1.75,2110,0,7,2110,0,0,1480,400000
6762822793,1,840,0,7,840,0,0,1630,400000
6762823019,2.5,2230,0,7,2230,0,0,1310,398750
6762823544,2.5,3090,0,8,1750,1340,0,1760,384900
6762823717,1.75,1970,0,7,1140,830,0,1820,379950
6762824223,3,1571,0,8,1571,0,0,1520,366750
6762825311,1,1120,0,7,1120,0,0,1310,340000
6762825312,1.5,1160,0,7,1160,0,0,1220,340000
6762825869,1,1140,0,6,1140,0,0,1450,329950
6762825928,2.5,2370,0,9,2370,0,0,2590,328000
6762826775,2.75,2310,0,7,2310,0,0,1980,309950
6762826776,2.5,1880,0,7,1880,0,0,1810,309950
6762827057,2,1050,0,7,1050,0,0,1130,300000
6762827694,1,1450,0,7,1450,0,0,1170,287000
6762829320,2,1550,0,6,1550,0,0,1510,249950
6762829453,1.75,1920,0,7,1000,920,0,1860,245000
6762829917,1,1200,0,6,1200,0,0,1200,232000
6762830263,1.5,1240,0,7,1240,0,0,1240,220000
6762830332,1.5,1120,0,6,1120,0,2014,1150,219900
6762830530,1,1340,0,5,1340,0,0,1800,210000
6762830531,2,2050,0,6,1430,620,0,1940,210000
6762830664,1,810,0,6,810,0,0,1090,206000
6762831089,1.75,1490,0,7,1490,0,0,2488,184000
6762810285,4,4510,0,10,4510,0,2002,3510,1870000
6762810310,5,4490,0,10,3930,560,0,2490,1800000
6762810471,3.25,3760,0,9,2400,1360,0,3430,1580000
6762810939,2.25,3490,0,10,2280,1210,0,2540,1230000
6762811141,2.75,3370,3,9,1970,1400,2014,2120,1140000
6762811335,2.5,2200,0,9,1610,590,0,1890,1050000
6762811613,2.5,2690,0,10,2690,0,0,2040,979000
6762811999,3.5,3020,0,9,2080,940,2004,2060,910000
6762812370,2,3740,0,9,3740,0,0,3180,860000
6762813278,2.5,3040,0,8,3040,0,0,3040,776000
6762813464,2.5,3880,0,10,3880,0,0,3240,762300
6762813840,2.5,2290,0,9,2290,0,0,3130,736000
6762813978,2.5,3200,0,10,3200,0,0,3770,725126
6762814626,2.5,3030,0,9,3030,0,0,2790,685000
6762814788,1,930,2,6,930,0,0,2800,675000
6762815143,3.5,3380,0,8,3380,0,0,2220,655500
6762815227,1.5,1630,1,7,1160,470,0,2320,650000
6762815228,3.5,3480,0,8,2490,990,0,2540,650000
6762816060,2,2060,0,7,1030,1030,2013,1280,612500
6762816083,3,2450,0,8,1580,870,0,2530,610000
6762816134,2.5,2150,0,9,2150,0,0,2450,609000
6762816173,2.5,2110,0,9,2110,0,0,2520,606000
6762816405,2.25,2260,0,8,1400,860,0,2770,599000
6762816780,3.25,3569,0,10,3569,0,0,2550,580000
6762816917,1.75,2130,2,8,1170,960,0,2020,575000
6762817272,3,3100,0,8,2400,700,0,2000,563000
6762817288,2.25,3040,0,8,3040,0,0,2020,562000
6762817305,2,2000,0,7,2000,0,1986,1840,561000
6762818108,2.5,1850,0,8,1850,0,0,1780,535000
6762818202,2.75,1800,0,7,1400,400,0,1400,533000
6762818237,2.5,2910,0,7,1690,1220,0,2830,530000
6762818403,2.5,2970,0,9,1770,1200,0,2990,525000
6762818591,2.5,2460,0,8,2460,0,0,2770,520000
6762818667,1.5,1430,0,7,1430,0,0,1450,518000
6762818718,2.5,1790,0,8,1790,0,0,1680,515000
6762818810,2.5,2000,0,8,2000,0,0,2210,513000
6762819071,2.5,1480,0,8,1480,0,0,1480,500000
6762819263,1.75,1170,0,7,740,430,0,1570,499000
6762819584,2,2020,0,7,2020,0,0,1510,488000
6762819621,2,1420,0,7,1420,0,2013,1420,485000
6762819707,1.75,1660,0,7,1160,500,0,1660,484000
6762819714,2.5,2740,0,8,2740,0,0,2080,483500
6762819923,3,3470,0,7,3470,0,0,2120,475000
6762820190,1,1030,0,7,1030,0,0,1400,469000
6762820263,2.25,1970,0,8,1180,790,0,1970,465000
6762820431,2.25,1230,0,8,1020,210,0,1270,460000
6762820605,2.5,2240,0,7,1340,900,0,1820,455000
6762820766,2,1100,0,7,1100,0,2005,1390,450000
6762821835,2,1520,0,7,1520,0,0,1520,425000
6762822588,2.25,2810,1,7,1710,1100,0,1860,407000
6762822705,1.75,1840,0,7,960,880,0,1840,404000
6762823058,2,1440,0,7,1200,240,0,1460,397000
6762823244,1.75,1260,0,7,1260,0,0,1500,390000
6762823245,3.75,2890,0,7,1310,1580,0,1930,390000
6762823419,1,1230,0,7,1230,0,0,1270,387000
6762823456,1.75,1900,0,7,1280,620,0,1330,385000
6762823727,1.75,1500,0,7,1000,500,0,1740,379900
6762824138,2,1270,0,8,1270,0,0,1370,369950
6762824202,1.5,1410,0,8,1410,0,0,2090,367500
6762824247,1.5,1310,0,7,1310,0,0,1090,365000
6762824373,2.25,1640,0,7,1140,500,0,2020,362000
6762824403,2,2680,0,8,2680,0,0,1230,360000
6762824756,1,1350,0,6,860,490,0,1130,353000
6762825130,2.5,2331,0,8,2331,0,0,2441,345000
6762825131,1,1110,0,7,1110,0,0,2010,345000
6762825904,1,720,0,6,720,0,0,840,329350
6762825992,2.5,1890,0,7,980,910,0,1590,325000
6762826596,1,1510,0,6,860,650,0,1510,313950
6762826630,2,1300,0,7,1300,0,2013,1560,312000
6762827348,2.25,1980,0,9,1560,420,0,2360,295000
6762827837,2.5,2000,0,7,2000,0,0,2330,284000
6762827916,1.75,1630,0,7,1630,0,0,2090,280000
6762828037,1.75,1580,1,7,1100,480,0,1650,279900
6762828331,2.5,1650,0,7,1650,0,0,1650,272000
6762829190,1,1050,0,6,1050,0,0,1500,250000
6762829881,1.75,1490,0,7,1010,480,0,1490,234000
6762830340,1,900,0,6,900,0,0,900,219000
6762830360,1.75,1850,0,8,1320,530,0,1940,218000
6762830890,1.75,1690,0,7,1060,630,0,1580,197000
6762830971,1.5,800,0,6,800,0,0,820,191000
6762831182,1,1010,0,7,1010,0,0,1440,175000
6762831495,1.5,1420,0,6,1420,0,0,1200,136500
6762831616,1,780,0,5,780,0,0,1700,78000
6762810052,4.5,6210,2,11,4760,1450,0,2940,3200000
6762810519,4.5,4270,0,11,3400,870,0,4100,1530000
6762810536,2.5,3560,0,11,3560,0,0,2780,1500000
6762810736,3,2960,2,10,2440,520,1990,2960,1340000
6762811104,4,4460,0,11,4460,0,0,3470,1150000
6762811190,1.5,2310,0,7,1890,420,0,2840,1110000
6762811389,3.5,3900,0,10,3900,0,0,3820,1040000
6762811814,2.25,1890,1,9,1470,420,0,2430,940000
6762812054,3.75,4130,0,9,3170,960,0,4130,900000
6762813091,2,2210,1,8,1210,1000,0,2190,794154
6762813283,2,2540,3,8,1600,940,0,2040,775000
6762813540,2.75,2410,0,7,1780,630,0,2090,758000
6762813601,2.75,2520,0,7,1360,1160,0,1800,750000
6762813688,2.75,2600,0,8,1960,640,0,1990,749950
6762814292,2.5,2650,0,8,1520,1130,2013,1690,705000
6762814540,2,1760,0,7,980,780,0,1760,690000
6762814789,1.75,1680,0,8,1680,0,0,2250,675000
6762814790,4,3680,0,10,3680,0,0,3200,675000
6762815215,2.5,3240,0,10,3240,0,0,2090,651000
6762815462,3,2270,0,9,2130,140,0,2850,640000
6762815655,2.5,2680,0,8,2680,0,0,2020,630000
6762815656,2.25,2550,0,10,1720,830,0,2560,630000
6762815957,2.5,2030,0,8,2030,0,0,2030,618080
6762816079,3,1680,0,8,1680,0,0,1640,610950
6762816276,2.5,2460,0,9,1860,600,0,2870,600000
6762816384,4.5,3830,0,7,2450,1380,0,1460,599999
6762816406,1.75,1960,0,7,1090,870,0,1960,599000
6762816769,2,2510,0,7,1280,1230,2001,1220,581000
6762816918,2,1650,0,7,1650,0,0,1690,575000
6762817146,2,2350,0,8,1780,570,0,1700,568000
6762817315,3,4120,2,9,3180,940,0,2770,560000
6762817316,2,1860,0,8,1860,0,0,1960,560000
6762817937,5.75,3700,1,8,3700,0,1984,2510,540000
6762818109,1.75,2720,0,9,2720,0,0,2560,535000
6762818110,2.5,2280,0,8,1880,400,0,2280,535000
6762818238,1,1340,0,7,1080,260,0,1960,530000
6762818388,2,1550,0,7,1550,0,0,1180,526000
6762818648,2.25,1170,0,8,1170,0,0,1350,519950
6762818719,1.75,1580,1,7,1210,370,0,2600,515000
6762818846,2.5,2430,0,8,2430,0,0,2260,510000
6762819032,2.75,1540,0,7,1210,330,0,1540,503000
6762819072,1,1010,0,7,1010,0,1990,1770,500000
6762819073,2.5,1940,0,8,1940,0,0,2560,500000
6762819343,1,990,0,6,990,0,0,1250,495000
6762819344,2.75,2656,0,9,2656,0,0,1860,495000
6762819436,2.5,3305,0,7,2245,1060,1956,1620,492000
6762819622,2,1610,0,7,1010,600,0,1040,485000
6762819760,2.5,2180,0,8,2180,0,0,1790,480500
6762819924,1,820,0,7,820,0,0,1370,475000
6762820432,2,1760,0,7,1760,0,0,2010,460000
6762821207,1.75,1500,0,6,1060,440,0,1740,440000
6762821771,2,1350,0,8,1350,0,0,1440,428000
6762821836,2.5,1150,0,8,1150,0,0,1360,425000
6762822055,1.5,1040,0,6,1040,0,0,1340,420000
6762822056,2.25,1770,0,7,1770,0,0,1650,420000
6762822226,2.25,1606,0,8,1606,0,0,1516,417250
6762822267,3,1830,0,7,1830,0,0,1740,415000
6762822547,2.75,2140,0,7,1320,820,0,2360,409500
6762822621,2.25,1660,0,8,1660,0,0,2510,405000
6762823625,1.75,3000,0,7,1500,1500,0,2230,380000
6762823740,1,1640,0,7,840,800,0,2440,379500
6762823823,2.5,1830,0,8,1830,0,0,1940,375000
6762824248,2.75,2410,0,7,1410,1000,0,1590,365000
6762824389,1,820,0,7,820,0,0,1490,361280
6762824800,2.5,2420,2,7,1620,800,0,2210,352000
6762824831,1,1010,0,6,1010,0,0,1470,350000
6762825419,2.25,1630,0,7,1630,0,0,1730,339950
6762825420,1,820,0,8,820,0,0,820,339950
6762825551,2,1570,0,7,1570,0,0,1410,335000
6762826573,1,1040,0,7,1040,0,0,1660,314950
6762826582,1.75,1870,0,8,1870,0,0,1950,314500
6762826607,1.75,2190,0,8,2190,0,0,1980,313000
6762826675,1.75,1840,0,7,1220,620,0,1590,310000
6762826676,1.75,2070,0,7,1420,650,0,2011,310000
6762826883,2.5,1600,0,7,1600,0,0,1500,305450
6762827058,1,760,0,6,760,0,0,1750,300000
6762827917,2.5,1600,0,7,1600,0,0,1700,280000
6762828163,2.5,1600,0,8,1600,0,0,1700,275000
6762828606,1.5,1500,0,6,760,740,0,1200,265000
6762829003,2.25,2060,0,7,1030,1030,0,1010,255000
6762829120,1.75,1250,0,7,1250,0,0,1980,253000
6762829191,1,1100,0,6,820,280,0,1100,250000
6762829348,1,1110,0,7,1110,0,0,1140,249000
6762829374,1.75,1720,0,7,1720,0,0,1220,248500
6762829434,1,1400,0,6,1400,0,0,1070,246000
6762829454,1.5,1260,0,7,1040,220,0,1260,245000
6762829711,2,1410,0,7,1410,0,0,1570,239900
6762829943,2.5,1920,0,8,1920,0,0,1930,230000
6762830103,1.75,1640,0,7,1130,510,0,1680,226500
6762830601,1.5,1380,0,7,1380,0,0,1380,209950
6762831054,1,1490,0,7,1490,0,0,1280,185000
6762831337,1,1040,0,6,1040,0,0,910,160000
6762831587,1,910,0,6,910,0,0,1326,100000
6762810338,3,3510,0,10,3510,0,0,3450,1750000
6762810537,1.75,2430,2,8,1340,1090,0,2930,1500000
6762810781,3.25,2800,0,10,1910,890,2002,2450,1310000
6762810889,3.25,3820,1,11,3310,510,0,2900,1250000
6762811336,3,2920,3,8,1460,1460,0,2970,1050000
6762811390,1,3410,0,8,2190,1220,0,2550,1040000
6762811575,2.75,2015,4,9,2015,0,0,1780,988500
6762811596,2.5,3160,0,9,1780,1380,0,3260,980000
6762811867,3.25,2640,0,9,1840,800,2000,1990,930000
6762812323,2.5,2920,0,10,2920,0,0,2920,868500
6762812615,2,1910,0,8,1910,0,0,1360,835000
6762812665,3,3040,0,9,1970,1070,0,3180,830000
6762813158,2.75,3010,0,9,3010,0,0,2950,785000
6762813211,1.75,2480,0,7,1390,1090,0,2440,780000
6762813572,2.5,2660,2,9,2660,0,0,3620,753888
6762814111,2.5,1690,1,8,1690,0,0,2140,719000
6762814139,2.5,3290,0,9,3290,0,0,3100,716500
6762814207,1,1250,0,7,1150,100,0,1900,712000
6762815046,1.75,1320,0,7,1320,0,0,1440,660000
6762815378,1.75,2060,0,8,1160,900,0,2590,647500
6762815557,1.75,1230,0,7,1230,0,0,1210,636000
6762815988,1,1540,0,7,820,720,0,1420,615000
6762816464,2.5,1750,0,7,1750,0,0,1750,595000
6762816607,3,3160,0,7,3160,0,0,3140,589900
6762817133,2.25,2250,0,8,2250,0,0,2350,569000
6762817390,2,1870,0,8,1870,0,0,1670,559950
6762817519,2.5,1360,0,8,1050,310,0,1430,553650
6762817818,2.25,1780,2,8,1780,0,0,2440,545000
6762817894,2.25,2820,2,7,1970,850,0,2520,543200
6762818056,1.75,1840,0,7,1220,620,0,1770,538000
6762818068,2.5,2550,0,7,2550,0,0,2550,537500
6762818111,2.5,2280,0,8,2280,0,0,2300,535000
6762818203,1,1670,0,7,1170,500,0,1560,533000
6762818239,1.75,1980,0,8,1980,0,0,2120,530000
6762818240,2.75,2280,0,7,1540,740,0,1680,530000
6762818544,2.25,2430,0,8,2430,0,0,2800,524000
6762818720,1,1060,0,7,1060,0,0,1420,515000
6762819074,1.75,1410,0,8,1410,0,0,1350,500000
6762819264,1.5,1110,0,8,930,180,0,1680,499000
6762819418,2.5,2310,0,8,2310,0,0,2440,494000
6762819551,2.25,2440,0,8,2440,0,0,2670,489990
6762820767,2,1510,0,7,1510,0,0,2060,450000
6762821186,1.5,1020,0,8,1020,0,0,1340,441750
6762821371,1,980,0,8,980,0,0,1190,438000
6762821403,1.75,1310,0,7,1310,0,0,1310,437000
6762821994,1.75,1460,0,7,1460,0,0,1720,424500
6762822396,2.5,1540,0,8,1470,70,0,1540,413450
6762822622,1,1020,0,7,1020,0,0,1430,405000
6762822722,2.75,2090,0,8,2090,0,0,2280,403000
6762822747,2.5,1960,0,7,1290,670,0,1960,402000
6762823457,1.75,1890,0,7,1230,660,0,1380,385000
6762823824,2.25,3206,0,7,3206,0,0,2527,375000
6762824560,1.5,960,0,7,960,0,0,1290,358000
6762824832,1.75,2250,0,8,2150,100,0,2150,350000
6762825043,1.75,1590,0,7,1590,0,0,2980,349000
6762825083,2.5,2460,0,9,2460,0,0,2390,347500
6762825552,1.5,2240,0,7,1480,760,0,1920,335000
6762825746,2,1550,0,7,1550,0,0,1600,330000
6762825986,2.5,2320,0,8,2320,0,0,2150,325900
6762826223,1.25,860,0,7,860,0,0,1280,321950
6762826837,1.75,1890,0,7,1890,0,0,1500,307000
6762827311,2,1240,0,7,1240,0,2010,1480,297950
6762827349,1.75,2200,0,7,1100,1100,0,2590,295000
6762827350,2.5,1920,0,8,1920,0,0,2310,295000
6762828376,2.5,1810,0,7,1810,0,0,1760,270000
6762828590,2.5,1940,0,7,1460,480,0,1750,266000
6762828756,2.5,2020,0,7,2020,0,0,1940,262000
6762828791,1.5,2130,0,7,1100,1030,0,1480,260000
6762828930,1.75,1730,0,7,1230,500,0,1840,258000
6762829435,1.75,1390,0,7,1390,0,0,1460,246000
6762829455,1.5,1260,0,7,1260,0,0,1510,245000
6762829790,1,1270,0,6,650,620,0,1270,235000
6762829944,1.75,950,0,6,790,160,0,1360,230000
6762829945,1,1390,0,6,1390,0,0,1420,230000
6762830053,2.5,1190,0,7,1190,0,0,1190,229000
6762830075,1.75,2000,0,7,1100,900,0,1880,228000
6762830520,1,2100,0,7,1050,1050,0,1540,211000
6762830646,1,1490,0,7,1490,0,0,1490,207000
6762830682,1,720,0,6,720,0,0,1357,205000
6762831507,1.5,980,0,7,980,0,2003,1040,134000
6762831612,1,520,0,5,520,0,0,1572,82500
6762810135,2.25,3000,4,11,3000,0,0,3000,2400000
6762810176,6.5,7270,0,12,6420,850,0,1800,2240000
6762810365,4.5,5190,2,11,3390,1800,2000,4460,1700000
6762810697,2.75,3720,4,10,1960,1760,0,2900,1370000
6762811086,4.25,5860,0,10,4910,950,0,3320,1160000
6762811582,2.25,4230,0,11,4230,0,0,3890,985000
6762811939,3,3750,0,10,3750,0,0,2930,920000
6762812447,2.5,3560,0,10,3560,0,0,3660,851000
6762812596,3.5,3810,1,9,2560,1250,0,3230,839900
6762812648,2.75,3780,0,10,3780,0,0,3500,833000
6762812964,3.25,3540,0,9,3540,0,0,1940,800000
6762813195,2.5,2830,0,10,1980,850,0,2830,782000
6762813396,3.5,2730,0,8,2400,330,0,1980,769900
6762813413,2.75,2790,0,10,2790,0,0,3080,765000
6762813532,2.25,2950,0,9,2950,0,0,3880,759000
6762813758,2.75,3100,0,8,2000,1100,1996,2130,742500
6762814293,2.5,2200,3,8,2200,0,0,2700,705000
6762816084,3,2480,0,8,1620,860,0,1260,610000
6762816237,2.5,2260,0,9,2260,0,0,2690,604000
6762816548,2.25,2430,0,9,2430,0,0,2750,590000
6762816668,3.25,2400,0,8,2400,0,0,2280,585000
6762816748,2.5,2660,0,8,2660,0,0,2330,583000
6762816781,2.5,2840,0,9,2840,0,0,2790,580000
6762817174,2.25,1660,0,8,1370,290,0,2100,566000
6762817182,2.25,2470,0,8,2470,0,0,2270,565000
6762817428,2.5,2840,0,8,2840,0,0,2840,557000
6762817907,2.5,2330,0,8,2330,0,0,2210,542500
6762818086,1.75,2000,0,7,1450,550,0,1430,536500
6762818089,1.75,1300,0,7,1300,0,1992,1590,536000
6762818218,3,3480,0,8,2340,1140,0,2020,532000
6762818404,2.5,2030,0,8,2030,0,0,2000,525000
6762818835,2,1400,0,7,1400,0,0,1600,511555
6762818980,2.5,2100,2,8,2100,0,0,1890,505000
6762819453,1.75,1750,1,7,1300,450,0,2310,491300
6762819464,1,1840,0,6,1130,710,0,1320,490000
6762819748,2,1410,0,7,1410,0,0,1190,481450
6762820264,2.5,1930,0,9,1930,0,0,2100,465000
6762820383,1,1150,0,7,1150,0,0,1240,463000
6762820433,1.75,1750,0,7,1050,700,0,1640,460000
6762821052,2,1650,0,7,1000,650,0,1540,445000
6762821053,2,1150,0,7,860,290,0,1680,445000
6762821613,2.25,2170,2,8,1270,900,0,2080,431000
6762821767,1,1620,0,7,1620,0,1977,2440,428750
6762822268,2.25,3060,0,8,3060,0,0,2090,415000
6762822734,2.5,2600,0,10,2600,0,0,2820,402500
6762823420,2.25,1445,0,7,1300,145,0,1410,387000
6762823591,3.25,1410,0,8,1410,0,0,1410,382000
6762823809,2,1340,0,8,1340,0,0,1110,376000
6762824404,1,1420,0,7,1180,240,0,1490,360000
6762824801,2.25,1640,0,8,1640,0,0,1870,352000
6762825517,1.75,1780,0,6,1780,0,0,1440,336900
6762825747,2.5,1940,0,8,1940,0,0,1940,330000
6762825993,2.25,1352,0,8,1352,0,0,1439,325000
6762825994,1.5,1470,0,7,1470,0,0,1810,325000
6762826170,2.25,998,0,7,798,200,0,998,324000
6762826183,2.75,1970,0,8,1170,800,0,1980,323000
6762826240,2.25,2310,0,8,2310,0,0,2310,320000
